41.5169909433,-81.5492291317,-191,-2579039,5.14984130859e-05,0.0001,0.0001
41.5169915233,-81.5492288717,-191,-2579039,0.0105340480804,0.0001,0.0001
41.5169922483,-81.5492285733,-191,-2579040,0.20675778389,0.0001,0.0001
41.5169930467,-81.5492282483,-191,-2579039,0.40731549263,0.0001,0.0001
41.5169940033,-81.5492278783,-191,-2579042,0.620636224747,0.0001,0.0001
41.5169950467,-81.5492274683,-191,-2579040,0.814556598663,0.0001,0.0001
41.5169962267,-81.5492270283,-191,-2579039,1.03379750252,0.0001,0.0001
41.5169975883,-81.5492265467,-191,-2579039,1.20757174492,0.0001,0.0001
41.51699906,-81.5492259933,-191,-2579041,1.41241431236,0.0001,0.0001
41.5170006383,-81.5492253633,-188,-2579041,1.60867261887,0.0001,0.0001
41.5170022967,-81.5492246817,-188,-2579041,1.81960630417,0.0001,0.0001
41.5170040533,-81.5492240083,-188,-2579041,2.01055669785,0.0001,0.0001
41.5170058933,-81.5492233217,-188,-2579039,2.21007180214,0.0001,0.0001
41.5170077817,-81.5492225917,-188,-2579042,2.40767240524,0.0001,0.0001
41.5170096483,-81.5492218383,-188,-2579041,2.60763144493,0.0001,0.0001
41.51701152,-81.5492210817,-188,-2579049,2.81454944611,0.0001,0.0001
41.5170134483,-81.5492202967,-188,-2579050,3.02022838593,0.0001,0.0001
41.5170153583,-81.54921963,-191,-2579051,3.20801520348,0.0001,0.0001
41.5170171817,-81.5492188717,-195,-2579054,3.40939807892,0.0001,0.0001
41.5170189433,-81.5492180167,-195,-2579055,3.60730218887,0.0001,0.0001
41.51702077,-81.5492174017,-195,-2579057,3.82184696198,0.0001,0.0001
41.5170226333,-81.5492165767,-195,-2579058,4.01349902153,0.0001,0.0001
41.5170244833,-81.5492157433,-195,-2579060,4.2077422142,0.0001,0.0001
41.5170264283,-81.5492150683,-195,-2579058,4.40610837936,0.0001,0.0001
41.5170283317,-81.5492142333,-195,-2579060,4.60761117935,0.0001,0.0001
41.5170302883,-81.5492134633,-195,-2579059,4.81387090683,0.0001,0.0001
41.51703225,-81.5492127183,-195,-2579064,5.00762033463,0.0001,0.0001
41.517034205,-81.5492118667,-195,-2579066,5.21244931221,0.0001,0.0001
41.5170361833,-81.5492111117,-195,-2579066,5.4069340229,0.0001,0.0001
41.5170381667,-81.5492103517,-195,-2579069,5.60765099525,0.0001,0.0001
41.5170400733,-81.5492095767,-195,-2579070,5.820551157,0.0001,0.0001
41.51704197,-81.5492089017,-198,-2579073,6.00932502747,0.0001,0.0001
41.5170439067,-81.5492081333,-198,-2579071,6.20905470848,0.0001,0.0001
41.5170458217,-81.5492071867,-198,-2579075,6.4548869133,0.0001,0.0001
41.5170477267,-81.549206295,-198,-2579077,6.60882616043,0.0001,0.0001
41.517049655,-81.5492054683,-198,-2579079,6.82056665421,0.0001,0.0001
41.5170516417,-81.5492046617,-198,-2579078,7.02149128914,0.0001,0.0001
41.5170535817,-81.5492039017,-198,-2579078,7.21015787125,0.0001,0.0001
41.5170554283,-81.5492030383,-198,-2579081,7.40933275223,0.0001,0.0001
41.5170572767,-81.5492022817,-198,-2579079,7.60938692093,0.0001,0.0001
41.5170591383,-81.5492015333,-198,-2579081,7.87459611893,0.0001,0.0001
41.51706099,-81.5492007917,-198,-2579082,8.00908041,0.0001,0.0001
41.5170628583,-81.5492000833,-198,-2579083,8.21167254448,0.0001,0.0001
41.5170646867,-81.549199225,-198,-2579086,8.41042375565,0.0001,0.0001
41.5170664817,-81.5491984167,-198,-2579085,8.61044311523,0.0001,0.0001
41.51706827,-81.54919757,-198,-2579089,8.81754732132,0.0001,0.0001
41.5170700917,-81.5491966567,-198,-2579087,9.01088500023,0.0001,0.0001
41.51707195,-81.5491958533,-201,-2579092,9.21280121803,0.0001,0.0001
41.5170738133,-81.5491949867,-198,-2579093,9.41304469109,0.0001,0.0001
41.5170755967,-81.5491941783,-198,-2579091,9.61020731926,0.0001,0.0001
41.5170773867,-81.5491935017,-198,-2579090,9.92348432541,0.0001,0.0001
41.5170791683,-81.549192685,-198,-2579088,10.0131783485,0.0001,0.0001
41.5170808983,-81.5491919217,-198,-2579092,10.2098817825,0.0001,0.0001
41.51708267,-81.5491911617,-198,-2579094,10.410238266,0.0001,0.0001
41.5170844733,-81.5491903867,-198,-2579095,10.6084389687,0.0001,0.0001
41.5170862533,-81.54918964,-198,-2579098,10.8202044964,0.0001,0.0001
41.5170880467,-81.5491888733,-198,-2579095,11.0121011734,0.0001,0.0001
41.51708985,-81.549188085,-198,-2579091,11.2071278095,0.0001,0.0001
41.5170916533,-81.5491872617,-201,-2579091,11.4067411423,0.0001,0.0001
41.5170934633,-81.5491864117,-201,-2579092,11.6072480679,0.0001,0.0001
41.5170952917,-81.5491856017,-205,-2579094,11.820404768,0.0001,0.0001
41.5170971017,-81.5491847,-205,-2579090,12.0217363834,0.0001,0.0001
41.51709887,-81.5491838933,-205,-2579087,12.2098548412,0.0001,0.0001
41.51710061,-81.5491831133,-205,-2579088,12.4073650837,0.0001,0.0001
41.5171023183,-81.5491822817,-205,-2579088,12.6117854118,0.0001,0.0001
41.517104025,-81.5491815133,-205,-2579089,12.8161115646,0.0001,0.0001
41.517105755,-81.549180685,-201,-2579091,13.0175302029,0.0001,0.0001
41.517107545,-81.549179855,-205,-2579094,13.2675330639,0.0001,0.0001
41.517109355,-81.5491790567,-205,-2579092,13.4081726074,0.0001,0.0001
41.5171111233,-81.54917811,-205,-2579092,13.6194896698,0.0001,0.0001
